DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2017-06-16 05:34:23,1,9,0,217.444,91.848,4.5,62744,282348,0,10.889,11.556,209
2017-06-16 05:34:25,1,14,0,172.857,60.284,7,62744,439208,0,1.643,2.571,171.643
2017-06-16 05:34:27,1,12,0,170.083,40.49,6,62744,376464,0,0.667,0.75,168.333
2017-06-16 05:34:29,1,12,0,158.417,22.036,6,62744,376464,0,0.167,0.833,156.583
2017-06-16 05:34:31,1,12,0,170.75,41.373,6,62744,376464,0,0,0.5,169.667
2017-06-16 05:34:33,1,16,0,157.875,31.349,8,62744,501952,0,0.25,0.625,156.812
2017-06-16 05:34:35,1,9,0,154.333,17.512,4.5,62744,282348,0,0.222,0.889,153.444
2017-06-16 05:34:37,1,12,0,167.75,33.873,6,62744,376464,0,0.167,0.583,167.083
2017-06-16 05:34:39,1,13,0,156.077,33.021,6.5,62744,407836,0,0.385,1,154.231
2017-06-16 05:34:41,1,13,0,156.462,36.038,6.5,62744,407836,0,0.154,0.385,154.923
2017-06-16 05:34:43,1,13,0,151.462,19.929,6.5,62744,407836,0,0.846,1.385,150.385
2017-06-16 05:34:45,1,15,0,157.067,26.441,7.5,62744,470580,0,0.067,0.733,155.933
2017-06-16 05:34:47,1,12,0,167,39.609,6,62744,376464,0,0.083,0.5,166.083
2017-06-16 05:34:49,1,13,0,153.846,27.693,6.5,62744,407836,0,0.077,0.615,152.923
2017-06-16 05:34:51,1,13,0,154.846,35.719,6.5,62744,407836,0,0.308,0.538,153.846
2017-06-16 05:34:53,1,9,0,165,37.068,4.5,62744,282348,0,0.222,0.778,164.667
2017-06-16 05:34:55,1,13,0,158.385,34.664,6.5,62744,407836,0,0.385,1.615,157.846
2017-06-16 05:34:57,1,13,0,157.385,28.408,6.5,62744,407836,0,0.231,0.462,156.923
2017-06-16 05:34:59,1,11,0,168.182,32.605,5.5,62744,345092,0,0.273,0.455,167.455
2017-06-16 05:35:01,1,13,0,156.538,20.824,6.5,62744,407836,0,0.308,0.769,155.462
2017-06-16 05:35:03,1,12,0,165.417,33.555,6,62744,376464,0,1.083,1.583,164.417
2017-06-16 05:35:05,1,13,0,151.769,18.519,6.5,62744,407836,0,0.308,0.615,151.077
